name,title,file,id
Charlie Musselwhite,Little Star,Charlie Musselwhite_Little Star.npy,0
Frank Boeijen,Vaderland,Frank Boeijen_Vaderland.npy,1
Matthew Sweet,Evangeline,Matthew Sweet_Evangeline.npy,2
Perry Como,Wanted,Perry Como_Wanted.npy,3
Dan Fogelberg,Same Old Lang Syne,Dan Fogelberg_Same Old Lang Syne.npy,4
Prudence Liew,忘情 - Wang Qing,Prudence Liew_忘情 - Wang Qing.npy,5
Ron Sexsmith,These Days,Ron Sexsmith_These Days.npy,6
Kina Grannis,Valentine,Kina Grannis_Valentine.npy,7
Christine Lavin,Sensitive New Age Guys,Christine Lavin_Sensitive New Age Guys.npy,8
Norman Connors,Take It to the Limit,Norman Connors_Take It to the Limit.npy,9
Dua Lipa,Dance The Night (From Barbie The Album),Dua Lipa_Dance The Night (From Barbie The Album).npy,10
Nick Lowe,Cruel to Be Kind,Nick Lowe_Cruel to Be Kind.npy,11
Ricky Van Shelton,Statue Of A Fool,Ricky Van Shelton_Statue Of A Fool.npy,12
David Allan Coe,You Never Even Called Me by My Name,David Allan Coe_You Never Even Called Me by My Name.npy,13
Sharon Cuneta,I-Swing Mo Ako,Sharon Cuneta_I-Swing Mo Ako.npy,14
Neil Young,Rockin_ in the Free World,Neil Young_Rockin_ in the Free World.npy,15
Joan Manuel Serrat,Penelope,Joan Manuel Serrat_Penelope.npy,16
Eddie Money,Take Me Home Tonight,Eddie Money_Take Me Home Tonight.npy,17
RuPaul,Cover Girl,RuPaul_Cover Girl.npy,18
Leona Lewis,Yesterday,Leona Lewis_Yesterday.npy,19
Kodak Black,Tunnel Vision,Kodak Black_Tunnel Vision.npy,20
Stevie Ray Vaughan & Double Trouble,Texas Flood,Stevie Ray Vaughan & Double Trouble_Texas Flood.npy,21
Eddie Money,Walk On Water,Eddie Money_Walk On Water.npy,17
David Bowie,Space Oddity (Mono Single Edit_ 2009 Remaster),David Bowie_Space Oddity (Mono Single Edit_ 2009 Remaster).npy,22
Harry Belafonte,Banana Boat Song (Day-O),Harry Belafonte_Banana Boat Song (Day-O).npy,23
Barbara Cook,The Label On The Bottle,Barbara Cook_The Label On The Bottle.npy,24
Pastor Troy,"Who, When, When, Where","Pastor Troy_Who, When, When, Where.npy",25
Oddisee,Sunshine (Ralph And Odd Chorus Demo) 18.06.19.01,Oddisee_Sunshine (Ralph And Odd Chorus Demo) 18.06.19.01.npy,26
Leona Lewis,Footprints in the Sand,Leona Lewis_Footprints in the Sand.npy,19
Elvin Bishop,Travelin_ Shoes,Elvin Bishop_Travelin_ Shoes.npy,27
Natalie MacMaster,The Drunken Piper,Natalie MacMaster_The Drunken Piper.npy,28
Barry Manilow,Somewhere Down The Road,Barry Manilow_Somewhere Down The Road.npy,29
Алла Пугачёва,Миллион алых роз,Алла Пугачёва_Миллион алых роз.npy,30
The Hit Crew,The Dance,The Hit Crew_The Dance.npy,31
Jim Byrnes,Ain_t No Love In The Heart Of The City,Jim Byrnes_Ain_t No Love In The Heart Of The City.npy,32
Buck Owens,Act Naturally,Buck Owens_Act Naturally.npy,33
